Name,Year,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Craig Reynolds,2022,937222,23,102,4.4,21,1,0,9,10,116,12.9,0,103,0
Rachaad White,2022,932727,129,481,3.7,35,3,1,50,58,290,5.8,2,469,0
Tyrion Davis-Price,2022,928826,34,99,2.9,20,1,0,0,2,0,0,0,69,1
Jonathan Williams,2022,915000,37,152,4.1,23,1,0,7,10,40,5.7,0,99,1
Kenneth Gainwell,2022,908881,53,240,4.5,13,0,4,23,29,169,7.3,0,331,0
JaMycal Hasty,2022,895000,46,194,4.2,61,4,2,21,27,121,5.8,1,216,0
Salvon Ahmed,2022,895000,12,64,5.3,11,0,1,1,1,8,8,0,35,0
Zamir White,2022,890981,17,70,4.1,22,1,0,0,0,0,0,0,35,1
Isaiah Spiller,2022,889238,18,41,2.3,11,0,0,3,3,13,4.3,0,51,0
Avery Williams,2022,885038,22,109,5,21,1,1,13,14,61,4.7,0,141,0
Pierre Strong Jr.,2022,883357,10,100,10,44,3,1,7,7,42,6,0,47,0
Trey Sermon,2022,881497,2,19,9.5,14,0,0,0,0,0,0,0,5,1
Hassan Haskins,2022,878052,25,93,3.7,12,0,0,11,12,57,5.2,0,146,1
Gary Brightwell,2022,869718,31,141,4.5,25,1,1,5,8,39,7.8,0,87,1
Chris Evans,2022,868222,0,0,0,0,0,0,3,4,38,12.7,1,17,1
Brian Robinson Jr.,2022,856144,205,797,3.9,24,2,2,9,12,60,6.7,1,351,1
Dameon Pierce,2022,847747,220,939,4.3,75,13,4,30,39,165,5.5,1,508,1
Justin Jackson,2022,845278,42,170,4,27,1,1,12,19,101,8.4,1,187,1
Rico Dowdle,2022,828334,0,0,0,0,0,0,0,0,0,0,0,1,1
Deon Jackson,2022,825000,68,236,3.5,17,0,1,30,34,209,7,1,246,1
Tyler Allgeier,2022,788472,210,1035,4.9,44,12,3,16,17,139,8.7,1,497,0
Snoop Conner,2022,786567,12,42,3.5,8,0,1,0,0,0,0,0,34,0
Khalil Herbert,2022,754899,129,731,5.7,63,11,4,9,12,57,6.3,1,301,0
Keaontay Ingram,2022,747647,27,60,2.2,13,0,1,4,5,21,5.3,0,103,0
Trestan Ebner,2022,746484,24,54,2.3,11,0,0,2,8,8,4,0,78,0
Zander Horvath,2022,724253,4,8,2,3,0,0,5,8,8,1.6,2,74,0
Jerome Ford,2022,709148,8,12,1.5,9,0,0,0,0,0,0,0,14,0
Jaylen Warren,2022,709000,77,379,4.9,31,4,1,28,33,214,7.6,0,342,1
Jordan Mason,2022,708333,43,258,6,55,4,1,0,0,0,0,0,82,1
Latavius Murray,2022,696111,171,760,4.4,52,9,6,27,35,132,4.9,0,447,1
Christian McCaffrey,2022,690000,244,1139,4.7,49,14,8,85,108,741,8.7,5,777,1
Kyren Williams,2022,660380,35,139,4,17,0,0,9,12,76,8.4,0,141,0
Raheem Blackshear,2022,626667,23,77,3.3,16,0,3,10,12,93,9.3,0,79,0
Ty Chandler,2022,611656,6,20,3.3,10,0,0,0,0,0,0,0,12,0
Elijah Mitchell,2022,603672,45,279,6.2,37,2,2,3,4,7,2.3,0,80,1
James Robinson,2022,546944,110,425,3.9,50,8,3,11,14,51,4.6,2,272,0
Kevin Harris,2022,543751,18,52,2.9,14,0,1,0,0,0,0,0,53,0
Zack Moss,2022,543750,93,456,4.9,43,5,1,11,13,39,3.5,0,249,0
Caleb Huntley,2022,502500,76,366,4.8,30,3,1,2,2,3,1.5,0,120,1
Malik Davis,2022,430833,38,161,4.2,23,2,1,6,7,63,10.5,0,78,0
Zonovan Knight,2022,430833,85,300,3.5,48,3,1,13,14,100,7.7,0,198,0
Corey Clement,2022,397778,15,55,3.7,12,0,1,5,7,54,10.8,0,72,0
Darrynton Evans,2022,348056,14,64,4.6,21,1,0,1,1,33,33,0,47,0
Ronnie Rivers,2022,274167,9,21,2.3,5,0,0,5,5,29,5.8,0,24,0
Royce Freeman,2022,230000,41,117,2.9,11,0,0,6,8,33,5.5,0,106,0
Tevin Coleman,2022,203722,12,26,2.2,14,0,1,3,3,44,14.7,1,31,0
Spencer Brown,2022,200000,9,43,4.8,7,0,0,2,4,10,5,0,31,0
David Johnson,2022,198889,12,24,2,5,0,0,4,4,47,11.8,0,50,0
Eno Benjamin,2022,198889,77,313,4.1,45,3,2,25,34,193,7.7,0,335,0
Malcolm Brown,2022,198889,18,81,4.5,23,1,1,5,6,37,7.4,0,85,1
Larry Rountree III,2022,171999,13,19,1.5,5,0,0,2,2,14,7,0,21,0
Julius Chestnut,2022,156667,9,12,1.3,5,0,0,3,3,41,13.7,0,29,0
Jonathan Ward,2022,99444,5,25,5,12,0,0,2,3,7,3.5,0,10,0
J.J. Taylor,2022,80500,10,9,0.9,5,0,0,1,1,8,8,0,17,0
Tyler Badie,2022,78333,1,0,0,0,0,0,1,1,24,24,1,9,0
Reggie Bonnafon,2022,49722,3,8,2.7,5,0,0,0,0,0,0,0,3,0
Jaret Patterson,2022,45833,17,78,4.6,14,0,0,0,1,0,0,0,33,0
Aaron Jones,2021,4464706,171,799,4.7,57,8,4,52,65,391,7.5,6,578,1
Adrian Peterson,2021,115722,38,98,2.6,16,0,2,4,4,8,2,0,72,0
Alec Ingold,2021,853334,2,1,0.5,1,0,0,10,12,85,8.5,1,116,0
Alex Collins,2021,850000,108,411,3.8,25,2,2,9,10,87,9.7,0,257,1
Alexander Mattison,2021,1055545,134,491,3.7,48,4,3,32,39,228,7.1,1,377,0
Alvin Kamara,2021,5000000,240,898,3.7,30,4,4,47,67,439,9.3,5,627,1
Ameer Abdullah,2021,566667,51,166,3.3,15,0,0,38,53,289,7.6,1,314,0
Anthony McFarland Jr.,2021,828386,3,3,1,3,0,0,1,1,11,11,0,19,0
Antonio Gibson,2021,1121054,258,1037,4,27,4,7,42,52,294,7,3,604,1
Artavis Pierce,2021,9200,0,0,0,0,0,0,0,0,0,0,0,3,0
Austin Ekeler,2021,5750000,206,911,4.4,28,3,12,70,94,647,9.2,8,731,0
Austin Walter,2021,216667,26,101,3.9,14,0,1,2,3,9,4.5,0,55,0
Benny Snell Jr.,2021,1025517,36,98,2.7,9,0,0,2,4,13,6.5,0,106,0
Boston Scott,2021,920000,87,373,4.3,23,2,7,13,16,83,6.4,0,219,1
Brandon Bolden,2021,2000000,44,226,5.1,24,2,1,41,49,405,9.9,2,342,0
Buddy Howell,2021,541667,5,11,2.2,4,0,0,0,0,0,0,0,6,1
Cam Akers,2021,1402964,5,3,0.6,2,0,0,3,3,10,3.3,0,13,1
Carlos Hyde,2021,1991176,72,253,3.5,18,0,1,12,22,65,5.4,0,292,1
Chase Edmonds,2021,1033089,116,592,5.1,54,8,2,43,53,311,7.2,0,476,1
Chris Carson,2021,2700000,54,232,4.3,33,4,3,6,6,29,4.8,0,124,1
Chris Evans,2021,703222,17,77,4.5,13,0,0,15,17,151,10.1,2,85,1
Christian McCaffrey,2021,6899500,99,442,4.5,18,0,1,37,41,343,9.3,1,272,1
Chuba Hubbard,2021,838293,172,612,3.6,26,3,5,25,37,174,7,1,464,0
Clyde Edwards-Helaire,2021,2459449,119,517,4.3,17,0,4,19,23,118,6.2,2,342,1
Corey Clement,2021,850000,33,140,4.2,38,2,0,6,7,29,4.8,1,77,0
Craig Reynolds,2021,141667,55,230,4.2,35,3,0,7,8,52,7.4,0,118,0
D'Andre Swift,2021,1940663,151,617,4.1,57,7,5,62,78,452,7.3,2,560,1
D'Ernest Johnson,2021,850000,100,534,5.3,30,5,3,19,25,137,7.2,0,322,0
D'Onta Foreman,2021,511111,133,566,4.3,35,6,3,9,11,123,13.7,0,230,0
Dalvin Cook,2021,5113037,249,1159,4.7,66,14,6,34,49,224,6.6,0,608,1
Damarea Crockett,2021,55067,3,7,2.3,6,0,0,0,0,0,0,0,4,0
Damien Harris,2021,1071534,202,929,4.6,64,14,15,18,20,132,7.3,0,407,0
Damien Williams,2021,1125000,40,164,4.1,23,1,2,16,23,103,6.4,1,166,1
Dare Ogunbowale,2021,850000,43,137,3.2,12,0,1,13,21,114,8.8,1,183,0
Darius Bradwell,2021,193067,0,0,0,0,0,0,0,1,0,0,0,7,0
Darrel Williams,2021,1594118,144,558,3.9,21,1,6,47,57,452,9.6,2,568,0
Darrell Henderson Jr.,2021,1151496,149,688,4.6,29,1,5,29,40,176,6.1,3,507,1
Darrynton Evans,2021,1036770,2,7,3.5,5,0,0,2,2,11,5.5,0,6,0
David Johnson,2021,4911765,67,228,3.4,15,0,0,32,42,225,7,1,317,1
David Montgomery,2021,1111577,225,849,3.8,41,7,7,42,51,301,7.2,0,642,1
DeeJay Dallas,2021,903600,33,138,4.2,15,0,2,21,23,133,6.3,0,161,0
Demetric Felton Jr.,2021,700286,7,24,3.4,12,0,0,18,21,181,10.1,2,129,0
Deon Jackson,2021,366667,13,31,2.4,10,0,1,0,0,0,0,0,16,0
Derrick Gore,2021,476667,51,256,5,51,5,2,8,9,105,13.1,0,113,0
Derrick Henry,2021,13500000,219,937,4.3,76,9,10,18,20,154,8.6,0,411,0
Devin Singletary,2021,1108956,188,870,4.6,46,10,7,40,50,228,5.7,1,718,0
Devine Ozigbo,2021,84022,1,-3,-3,0,0,0,1,1,7,7,0,4,0
Devonta Freeman,2021,802778,133,576,4.3,32,6,5,34,42,190,5.6,1,528,1
Devontae Booker,2021,2500000,145,593,4.1,31,4,2,40,45,268,6.7,1,519,0
Dontrell Hilliard,2021,357778,56,350,6.3,68,6,2,19,26,87,4.6,0,198,0
Duke Johnson Jr.,2021,141667,71,330,4.6,27,1,3,4,5,41,10.3,0,149,0
Dwayne Washington,2021,987500,4,16,4,5,0,0,2,2,12,6,0,13,1
Elijah Mitchell,2021,705893,207,963,4.7,39,9,5,19,20,137,7.2,1,441,1
Elijhaa Penny,2021,1040000,24,99,4.1,12,0,1,9,13,30,3.3,1,120,0
